
2022/11/13 (20:51:37) | ===> btop++ v.1.2.13
2022/11/13 (20:51:37) | WARNING: Failed to join _runner thread on exit!

2022/11/14 (20:38:52) | ===> btop++ v.1.2.13
2022/11/14 (20:38:52) | WARNING: Failed to join _runner thread on exit!

2022/11/16 (17:45:03) | ===> btop++ v.1.2.13
2022/11/16 (17:45:03) | WARNING: Failed to join _runner thread on exit!

2022/11/17 (02:55:25) | ===> btop++ v.1.2.13
2022/11/17 (02:55:25) | WARNING: Failed to join _runner thread on exit!

2022/11/17 (03:05:18) | ===> btop++ v.1.2.13
2022/11/17 (03:05:18) | WARNING: Failed to join _runner thread on exit!

2022/11/17 (03:05:59) | ===> btop++ v.1.2.13
2022/11/17 (03:05:59) | WARNING: Failed to join _runner thread on exit!

2022/11/17 (03:06:32) | ===> btop++ v.1.2.13
2022/11/17 (03:06:32) | WARNING: Failed to join _runner thread on exit!

2022/11/17 (13:31:39) | ===> btop++ v.1.2.13
2022/11/17 (13:31:39) | WARNING: Failed to join _runner thread on exit!
